,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
29,46.2,17.5,187.0,3650.0
124,48.5,17.5,191.0,3400.0
75,49.0,16.1,216.0,5550.0
82,48.6,16.0,230.0,5800.0
5,40.2,17.1,193.0,3400.0
56,49.8,17.3,198.0,3675.0
168,40.2,20.1,200.0,3975.0
144,49.5,16.1,224.0,5650.0
97,36.8,18.5,193.0,3500.0
65,38.1,17.6,187.0,3425.0
190,45.8,14.6,210.0,4200.0
225,46.9,16.6,192.0,2700.0
141,36.2,17.2,187.0,3150.0
31,46.2,14.5,209.0,4800.0
12,46.4,15.6,221.0,5000.0
35,34.0,17.1,185.0,3400.0
28,43.2,18.5,192.0,4100.0
42,42.2,18.5,180.0,3550.0
222,50.0,16.3,230.0,5700.0
147,50.5,15.9,222.0,5550.0
208,52.5,15.6,221.0,5450.0
51,37.0,16.9,185.0,3000.0
136,41.5,18.5,201.0,4000.0
195,51.5,18.7,187.0,3250.0
76,39.7,18.4,190.0,3900.0
41,49.4,15.8,216.0,4925.0
161,51.3,14.2,218.0,5300.0
158,39.6,18.8,190.0,4600.0
78,49.1,15.0,228.0,5500.0
140,36.5,18.0,182.0,3150.0
26,35.5,16.2,195.0,3350.0
230,37.3,17.8,191.0,3350.0
156,37.2,19.4,184.0,3900.0
178,42.8,14.2,209.0,4700.0
132,36.7,18.8,187.0,3800.0
0,38.1,18.6,190.0,3700.0
2,46.0,18.9,195.0,4150.0
77,35.2,15.9,186.0,3050.0
46,38.6,17.0,188.0,2900.0
100,41.7,14.7,210.0,4700.0
119,38.1,16.5,198.0,3825.0
143,35.7,16.9,185.0,3150.0
170,48.1,15.1,209.0,5500.0
90,51.3,19.9,198.0,3700.0
85,42.8,18.5,195.0,4250.0
185,38.8,17.2,180.0,3800.0
227,46.8,14.3,215.0,4850.0
98,39.6,18.1,186.0,4450.0
36,37.9,18.6,172.0,3150.0
139,39.6,20.7,191.0,3900.0
61,34.4,18.4,184.0,3325.0
22,41.6,18.0,192.0,3950.0
118,48.7,14.1,210.0,4450.0
154,45.6,20.3,191.0,4600.0
232,37.8,18.3,174.0,3400.0
33,37.9,18.6,193.0,2925.0
11,42.9,13.1,215.0,5000.0
233,40.6,18.6,183.0,3550.0
27,41.1,19.0,182.0,3425.0
146,34.1,18.1,193.0,3475.0
4,45.5,13.7,214.0,4650.0
122,45.7,17.3,193.0,3600.0
32,33.1,16.1,178.0,2900.0
201,39.0,17.1,191.0,3050.0
62,45.5,14.5,212.0,4750.0
135,42.1,19.1,195.0,4000.0
128,49.1,14.5,212.0,4625.0
215,45.9,17.1,190.0,3575.0
237,38.6,17.2,199.0,3750.0
70,49.5,16.2,229.0,5800.0
182,37.0,16.5,185.0,3400.0
64,41.1,18.1,205.0,4300.0
44,39.7,17.7,193.0,3200.0
153,43.5,14.2,220.0,4700.0
40,44.5,14.7,214.0,4850.0
123,54.2,20.8,201.0,4300.0
23,43.3,13.4,209.0,4400.0
177,52.8,20.0,205.0,4550.0
173,40.6,18.8,193.0,3800.0
81,49.7,18.6,195.0,3600.0
39,48.2,14.3,210.0,4600.0
199,42.0,13.5,210.0,4150.0
47,36.0,17.8,195.0,3450.0
94,44.5,15.7,217.0,4875.0
180,48.1,16.4,199.0,3325.0
43,50.3,20.0,197.0,3300.0
145,42.5,20.7,197.0,4500.0
162,45.7,13.9,214.0,4400.0
3,37.6,17.0,185.0,3600.0
105,50.8,19.0,210.0,4100.0
53,49.3,15.7,217.0,5850.0
133,51.1,16.3,220.0,6000.0
216,49.2,15.2,221.0,6300.0
183,42.3,21.2,191.0,4150.0
221,36.4,17.0,195.0,3325.0
49,46.4,15.0,216.0,4700.0
163,37.7,19.8,198.0,3500.0
80,39.0,17.5,186.0,3550.0
34,39.8,19.1,184.0,4650.0
7,40.8,18.9,208.0,4300.0
171,45.8,18.9,197.0,4150.0
110,48.4,16.3,220.0,5400.0
91,46.8,16.1,215.0,5500.0
83,46.2,14.1,217.0,4375.0
212,41.4,18.6,191.0,3700.0
217,42.5,16.7,187.0,3350.0
89,45.3,13.7,210.0,4300.0
8,45.1,14.5,215.0,5000.0
13,40.3,18.5,196.0,4350.0
59,46.4,18.6,190.0,3450.0
204,50.9,17.9,196.0,3675.0
131,42.7,13.7,208.0,3950.0
17,40.9,16.8,191.0,3700.0
166,38.9,17.8,181.0,3625.0
72,46.2,14.4,214.0,4650.0
209,47.2,13.7,214.0,4925.0
134,39.6,17.7,186.0,3500.0
194,53.4,15.8,219.0,5500.0
219,37.6,19.1,194.0,3750.0
63,46.5,17.9,192.0,3500.0
54,41.8,19.4,198.0,4450.0
107,40.2,17.0,176.0,3450.0
50,48.5,14.1,220.0,5300.0
197,34.6,21.1,198.0,4400.0
174,43.5,15.2,213.0,4650.0
198,46.7,17.9,195.0,3300.0
189,50.8,17.3,228.0,5600.0
235,47.5,15.0,218.0,4950.0
228,48.8,16.2,222.0,6000.0
169,49.0,19.5,210.0,3950.0
58,50.8,15.7,226.0,5200.0
48,43.1,19.2,197.0,3500.0
88,50.0,15.3,220.0,5550.0
21,49.9,16.1,213.0,5400.0
57,38.9,18.8,190.0,3600.0
203,50.2,18.8,202.0,3800.0
160,45.6,19.4,194.0,3525.0
231,36.5,16.6,181.0,2850.0
187,38.2,20.0,190.0,3900.0
191,39.5,16.7,178.0,3250.0
129,53.5,19.9,205.0,4500.0
37,36.7,19.3,193.0,3450.0
157,42.5,17.3,187.0,3350.0
224,50.0,15.9,224.0,5350.0
1,36.3,19.5,190.0,3800.0
52,49.8,15.9,229.0,5950.0
149,48.5,15.0,219.0,4850.0
130,50.5,15.9,225.0,5400.0
151,35.7,18.0,202.0,3550.0
103,45.2,16.4,223.0,5950.0
99,39.6,17.2,196.0,3550.0
116,43.5,18.1,202.0,3400.0
87,46.4,17.8,191.0,3700.0
202,50.1,17.9,190.0,3400.0
74,45.2,17.8,198.0,3950.0
214,51.0,18.8,203.0,4100.0
210,42.2,19.5,197.0,4275.0
121,40.5,17.9,187.0,3200.0
238,37.6,19.3,181.0,3300.0
20,42.7,18.3,196.0,4075.0
188,46.9,14.6,222.0,4875.0
71,52.0,19.0,197.0,4150.0
106,47.6,14.5,215.0,5400.0
14,49.2,18.2,195.0,4400.0
92,45.5,13.9,210.0,4200.0
179,47.5,14.2,209.0,4600.0
102,45.0,15.4,220.0,5050.0
